"","X1","age","sex","education","pes19_votechoice2019","vote_liberal","vote_conservative","vote_bloc","vote_ndp","vote_green","vote_ppc","vote_other","vote_spoil","age_cat"
"673",704,34,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"674",705,63,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"675",706,33,"Female","Bachelors","Green Party",0,0,0,0,1,0,0,0,"[30,50)"
"676",707,49,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"677",708,34,"Male","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"678",709,50,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"679",710,49,"Female","Below Bachelors","Another party (specify)",0,0,0,0,0,0,1,0,"[30,50)"
"680",711,56,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"681",712,56,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"682",713,32,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"683",715,49,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"684",716,53,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"685",717,66,"Male","Graduate Degree","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"686",718,69,"Female","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"687",719,71,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"688",720,48,"Male","High School","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"689",721,42,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"690",722,25,"Female","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[18,30)"
"691",723,65,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"692",724,51,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"693",725,29,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[18,30)"
"694",726,53,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"695",727,57,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"696",728,30,"Female","Bachelors","Green Party",0,0,0,0,1,0,0,0,"[30,50)"
"697",729,32,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"698",730,51,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
